nom du vin;vintage;appelation;couleur;ID_wine;ID_Item;prix;occasion de degust;food_pairing;food_pairing_french;gws
Cantemerle;2006;Haut Medoc;Red;1252;1252-2006;42;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,25
Lagrange;2011;Saint Julien;Red;2002;2002-2011;42;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,82
Meyney;2000;Saint Estephe;Red;1874;1874-2000;42;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;86,75
Phelan Segur;2006;Saint Estephe;Red;1973;1973-2006;42;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,99
Rayne Vigneau;2009;Sauternes;Sweet;2017;2017-2009;42;diner, dejeuner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;93,6
Guiraud;1998;Sauternes;Sweet;1589;1589-1998;42,12;diner, dejeuner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;90,64
Branaire Ducru;2012;Saint Julien;Red;1788;1788-2012;42,22;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,57
Virginie de Valandraud;2006;Saint Emilion;Red;2152;2152-2006;42,6;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;86,67
Haut Bages Liberal;2009;Pauillac;Red;1391;1391-2009;42,9;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91
La Tour Figeac;2010;Saint Emilion;Red;1741;1741-2010;42,95;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,22
Beau Sejour Becot;2013;Saint Emilion;Red;1202;1202-2013;42,95;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;89,7
Malartic Lagraviere;2011;Pessac Leognan;Red;1850;1850-2011;42,97;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;90,11
Dassault;2006;Saint Emilion;Red;1422;1422-2006;43;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;87,87
Domaine de Chevalier;2006;Pessac Leognan;Red;1471;1471-2006;43,07;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,62
Langoa Barton;2005;Saint Julien;Red;2014;2014-2005;43,07;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;91,76
La Tour Blanche;2010;Sauternes;Sweet;1733;1733-2010;43,25;diner, dejeuner, cadeau;Fruity desserts, Blue cheese;desserts aux fruits, roquefort;94,48
Fleur Cardinale;2003;Saint Emilion;Red;1522;1522-2003;43,46;diner, dejeuner, cadeau;Beef,  Lamb, Game (deer, venison), Poultry;Boeuf, Agneau, Gibier (cerf, chevreuil), Poulet;88,44
